@relation DLA

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute d {sitting,sittingdown,standing,standingup,walking}

@data
31,71,83,28,4,8,72,-58,-21,-29,-22,69,62,-95,-90,-134,-170,sitting
28,58,55,22,0,-1,101,-98,7,86,-122,18,95,-98,-205,-87,-162,standing
46,62,75,28,6,-8,87,-96,10,56,-120,13,109,-95,-172,-98,-166,walking
28,58,55,22,0,-1,87,-122,-442,-466,-567,45,122,-131,-195,-71,-163,walking
46,62,75,28,6,8,86,-14,11,30,-28,19,97,-63,-147,-107,-153,sitting
31,71,83,28,4,-1,66,-66,-37,-8,-28,66,59,-102,-96,-119,-183,sitting
46,62,75,28,6,-12,114,-119,-1,9,-15,28,103,-84,-184,-93,-146,standingup
31,71,83,28,4,-9,95,-112,62,44,-121,26,122,-84,-165,-75,-159,standing
28,58,55,22,0,-4,102,-108,11,84,-129,33,105,-83,-192,-81,-156,standing
46,62,75,28,6,-3,67,-56,-9,15,-35,-3,93,-75,-166,-109,-173,sitting
31,71,83,28,4,6,72,-60,-24,3,-23,92,84,-138,-96,-120,-192,sitting
31,71,83,28,4,-7,94,-132,11,92,-124,20,120,-87,-189,-78,-155,standing
31,71,83,28,4,15,123,-105,-21,97,-39,1,134,-87,-220,-71,-187,walking
46,62,75,28,6,-2,98,-63,-14,19,-15,-13,104,-90,-155,-101,-148,sitting
28,58,55,22,0,-7,99,-118,-7,87,-94,24,108,-109,-193,-88,-143,sittingdown
28,58,55,22,0,-26,30,-21,-272,-373,-455,27,108,-87,-151,-95,-173,sitting
31,71,83,28,4,-9,93,-107,-257,-233,-367,-2,114,-75,-151,-110,-117,sittingdown
46,62,75,28,6,-12,110,-80,-19,112,-113,-125,209,55,-153,-100,-163,walking
46,62,75,28,6,-6,104,-97,5,86,-122,19,108,-97,-177,-90,-158,standing
46,62,75,28,6,-12,111,-87,-19,81,-124,17,200,-37,-161,-101,-158,walking
46,62,75,28,6,9,96,-49,-1,23,-19,0,100,-66,-149,-98,-161,sittingdown
31,71,83,28,4,9,134,-107,68,75,-39,28,181,-75,-222,-54,-163,walking
46,62,75,28,6,2,95,-101,7,87,-117,21,107,-90,-176,-112,-174,walking
28,58,55,22,0,-1,72,-141,-493,-516,-616,99,175,-135,-183,-49,-169,walking
31,71,83,28,4,-39,76,-150,-58,76,-152,28,177,-67,-236,-52,-174,walking
46,62,75,28,6,-14,124,-129,-9,98,-122,23,115,-99,-161,-119,-162,walking
31,71,83,28,4,6,71,-59,-30,2,-24,65,58,-105,-99,-124,-170,sitting
46,62,75,28,6,-9,93,-95,-1,74,-123,12,104,-89,-162,-100,-162,standing
31,71,83,28,4,-4,95,-133,-492,-515,-616,28,125,-110,-213,-82,-165,walking
31,71,83,28,4,3,71,-61,-34,-6,-25,72,64,-99,-96,-118,-180,sitting
31,71,83,28,4,6,71,-59,-16,11,-24,65,58,-105,-98,-124,-172,sitting
28,58,55,22,0,-6,102,-89,13,87,-126,25,91,-100,-192,-90,-165,standing
46,62,75,28,6,-1,91,-51,-20,23,-17,12,108,-89,-163,-96,-151,sitting
31,71,83,28,4,0,66,-66,-36,-8,-28,66,59,-102,-97,-119,-184,sitting
31,71,83,28,4,1,69,-63,-35,-7,-26,66,59,-103,-99,-120,-186,sitting
28,58,55,22,0,-10,103,-93,-492,-515,-615,21,109,-100,-190,-83,-161,standing
46,62,75,28,6,-4,93,-81,16,77,-100,22,111,-105,-177,-75,-177,walking
46,62,75,28,6,-7,90,-92,27,48,-119,20,109,-103,-176,-75,-167,walking
28,58,55,22,0,5,89,-123,-492,-516,-615,77,104,-64,-167,-47,-171,walking
31,71,83,28,4,-6,95,-113,14,89,-121,27,123,-85,-162,-75,-158,standing
31,71,83,28,4,5,131,-186,-24,15,-18,57,50,-71,-100,-63,-182,standingup
46,62,75,28,6,3,91,-48,-20,23,-14,7,107,-92,-163,-95,-155,sitting
46,62,75,28,6,-5,88,-104,-29,83,-124,96,68,-125,-185,-100,-159,walking
28,58,55,22,0,11,103,-128,-391,-434,-533,47,151,-140,-172,-97,-155,walking
46,62,75,28,6,-7,92,-96,-2,80,-105,12,110,-93,-179,-85,-169,walking
28,58,55,22,0,-24,21,-24,-247,-268,-330,37,107,-102,-166,-91,-161,sitting
46,62,75,28,6,-7,66,-46,-8,17,-36,2,95,-73,-157,-107,-167,sitting
31,71,83,28,4,6,73,-61,-21,10,-23,82,75,-143,-100,-120,-186,sitting
28,58,55,22,0,-4,97,-124,-1,93,-78,31,107,-123,-265,-121,-135,sittingdown
28,58,55,22,0,-3,88,-112,2,82,-102,24,108,-115,-187,-92,-146,sittingdown
46,62,75,28,6,-4,95,-75,3,12,-15,46,102,-70,-176,-88,-154,standingup
31,71,83,28,4,-7,90,-128,20,88,-124,35,116,-81,-169,-75,-164,standing
28,58,55,22,0,-13,100,-93,-493,-516,-617,20,108,-98,-194,-82,-161,standing
75,67,67,24,0,-9,93,-90,-10,-21,-21,-76,77,-106,-108,-121,-146,sitting
46,62,75,28,6,-2,93,-79,7,12,-66,34,74,-81,-176,-94,-152,standingup
28,58,55,22,0,8,93,-151,-482,-512,-605,-266,-308,-422,-273,-110,-157,standingup
46,62,75,28,6,-7,93,-97,4,62,-91,36,56,-71,-204,-101,-155,standingup
28,58,55,22,0,-5,102,-97,8,89,-118,34,106,-82,-198,-88,-162,standing
46,62,75,28,6,-6,103,-93,6,86,-124,28,107,-98,-175,-90,-158,standing
46,62,75,28,6,-3,116,-109,-7,92,-109,2,50,-157,-170,-90,-154,walking
75,67,67,24,0,-13,94,-150,-13,88,-98,16,120,-99,-194,-79,-157,walking
46,62,75,28,6,-10,93,-90,-6,68,-121,13,100,-69,-158,-106,-153,standing
28,58,55,22,0,-27,35,-26,-260,-359,-409,26,106,-89,-151,-95,-170,sitting
75,67,67,24,0,-5,81,-175,-11,3,-20,-15,118,-90,-230,-91,-131,sittingdown
31,71,83,28,4,2,89,-150,7,92,-121,32,128,-86,-190,-62,-186,standing
28,58,55,22,0,-7,88,-113,-375,-397,-498,41,120,-133,-188,-85,-167,walking
31,71,83,28,4,-8,95,-124,2,92,-138,34,125,-78,-170,-70,-153,standing
31,71,83,28,4,-4,88,-112,-44,117,-103,13,125,-93,-214,-84,-185,walking
75,67,67,24,0,-12,94,-97,-17,-18,-21,-74,80,-96,-124,-129,-160,sitting
28,58,55,22,0,0,102,-96,5,86,-122,29,107,-89,-195,-85,-164,standing
46,62,75,28,6,-7,102,-81,-4,80,-126,16,108,-80,-178,-92,-154,standing
28,58,55,22,0,-11,104,-117,-29,95,-102,-105,257,-78,-170,-80,-166,walking
46,62,75,28,6,-7,98,-90,4,74,-119,18,102,-86,-165,-103,-159,standing
75,67,67,24,0,-11,96,-101,-22,-16,-22,-68,82,-126,-105,-128,-144,sitting
46,62,75,28,6,-8,95,-91,3,72,-119,20,103,-84,-160,-102,-158,standing
28,58,55,22,0,7,106,-83,-3,85,-126,25,97,-47,-194,-83,-156,standing
31,71,83,28,4,-25,87,-130,-300,-303,-396,0,111,-76,-177,-100,-153,standingup
28,58,55,22,0,-4,105,-92,-489,-513,-611,26,112,-98,-188,-77,-157,standing
31,71,83,28,4,-11,91,-116,16,86,-125,24,123,-82,-165,-72,-161,standing
31,71,83,28,4,-1,67,-67,-25,6,-27,86,80,-139,-96,-109,-185,sitting
31,71,83,28,4,1,68,-65,-35,-8,-27,67,61,-101,-94,-118,-181,sitting
28,58,55,22,0,1,101,-119,-492,-516,-616,46,115,-155,-177,-85,-169,walking
31,71,83,28,4,-17,138,-101,-34,115,-43,-264,160,61,-191,-72,-168,walking
46,62,75,28,6,-11,97,-105,3,83,-119,50,142,-88,-153,-108,-168,walking
28,58,55,22,0,-11,102,-91,-492,-515,-616,21,108,-101,-196,-81,-160,standing
28,58,55,22,0,11,134,-133,-492,-515,-615,27,149,-129,-159,-52,-171,walking
46,62,75,28,6,-8,102,-103,2,78,-125,23,108,-98,-187,-89,-157,standing
31,71,83,28,4,-31,90,-150,-269,-288,-383,-6,103,-84,-164,-112,-117,standingup
31,71,83,28,4,9,69,-55,-34,-20,-23,70,62,-111,-87,-146,-168,sitting
46,62,75,28,6,-12,90,-95,-3,71,-122,13,103,-86,-161,-102,-159,standing
28,58,55,22,0,0,101,-161,14,0,-15,-12,71,-139,-251,-114,-140,sittingdown
28,58,55,22,0,-10,96,-119,-407,-430,-530,33,123,-132,-173,-77,-180,walking
28,58,55,22,0,-24,90,-121,-23,87,-111,37,17,-118,-177,-76,-146,walking
28,58,55,22,0,34,121,-115,-449,-461,-562,51,27,-124,-195,-63,-168,walking
46,62,75,28,6,-6,75,-128,2,77,-145,7,166,-81,-156,-74,-151,walking
31,71,83,28,4,-3,77,-143,0,99,-91,-19,108,-65,-159,-101,-177,standingup
31,71,83,28,4,-1,97,-129,-17,90,-135,12,117,-79,-173,-78,-165,standing
31,71,83,28,4,-18,88,-143,-3,92,-160,14,118,-76,-153,-102,-183,standingup
31,71,83,28,4,-10,95,-124,-2,90,-139,33,125,-78,-196,-79,-130,standing
46,62,75,28,6,-10,103,-105,6,86,-126,22,108,-96,-181,-93,-151,standing
46,62,75,28,6,9,89,-110,51,121,-109,354,197,-304,-158,-77,-154,walking
46,62,75,28,6,-4,84,-96,-17,89,-111,95,37,-153,-178,-94,-163,walking
46,62,75,28,6,-9,101,-99,4,81,-123,20,108,-97,-176,-90,-158,standing
28,58,55,22,0,-28,27,-25,-189,-202,-331,38,107,-101,-163,-93,-167,sitting
31,71,83,28,4,4,69,-61,-19,8,-24,72,65,-99,-92,-119,-167,sitting
28,58,55,22,0,-24,67,-103,-23,92,-106,-44,62,-78,-210,-81,-154,walking
28,58,55,22,0,-13,94,-115,-493,-515,-616,25,119,-111,-167,-94,-173,walking
46,62,75,28,6,-1,90,-50,-18,22,-17,16,108,-89,-159,-94,-158,sitting
46,62,75,28,6,1,89,-47,-20,21,-18,10,108,-92,-168,-92,-158,sitting
46,62,75,28,6,-19,89,-92,-302,-381,-499,50,101,-143,-209,-116,-155,walking
28,58,55,22,0,-1,102,-99,-6,83,-128,35,101,-61,-182,-84,-154,standing
46,62,75,28,6,0,91,-53,-22,22,-19,9,108,-85,-166,-94,-150,sitting
46,62,75,28,6,0,90,-48,-21,22,-17,12,108,-90,-164,-95,-152,sitting
31,71,83,28,4,-16,92,-136,7,98,-144,30,125,-92,-187,-68,-178,walking
75,67,67,24,0,-9,94,-94,-17,-15,-22,-57,89,-136,-103,-150,-131,sitting
46,62,75,28,6,-5,75,-33,-2,22,-31,3,94,-71,-154,-110,-165,sitting
75,67,67,24,0,-13,96,-97,-10,-20,-21,-69,85,-103,-110,-116,-131,sitting
31,71,83,28,4,-41,125,-120,-482,-504,-604,3,278,7,-199,-87,-176,walking
46,62,75,28,6,-7,96,-86,2,69,-115,27,105,-82,-155,-98,-151,standing
46,62,75,28,6,-11,102,-103,-13,83,-124,-31,134,-123,-191,-112,-165,walking
31,71,83,28,4,-6,95,-111,61,45,-121,26,123,-86,-165,-72,-166,standing
46,62,75,28,6,29,123,-18,25,30,-28,21,100,-54,-165,-98,-146,sittingdown
28,58,55,22,0,-13,137,-100,-466,-490,-590,-90,203,-39,-194,-80,-165,walking
31,71,83,28,4,-5,115,-175,-44,14,-29,46,39,-63,-121,-46,-179,standingup
28,58,55,22,0,-26,45,-28,-212,-218,-360,38,107,-102,-159,-95,-170,sitting
31,71,83,28,4,-9,95,-121,3,89,-142,34,117,-80,-172,-79,-158,standing
28,58,55,22,0,9,157,-177,-32,155,-39,55,156,-102,-189,-48,-169,walking
31,71,83,28,4,-9,95,-110,18,89,-121,27,122,-83,-162,-75,-160,standing
75,67,67,24,0,-12,92,-156,-3,91,-94,16,123,-107,-191,-79,-156,standing
31,71,83,28,4,30,125,-121,0,100,-90,66,31,-122,-250,-80,-168,walking
46,62,75,28,6,0,95,-59,-21,21,-20,9,107,-89,-168,-94,-151,sitting
31,71,83,28,4,-14,89,-126,-290,-298,-403,2,117,-78,-189,-82,-139,sittingdown
46,62,75,28,6,-3,78,-30,0,23,-32,6,95,-68,-150,-108,-163,sitting
28,58,55,22,0,-27,16,-28,-243,-224,-328,38,107,-102,-161,-91,-167,sitting
46,62,75,28,6,-14,83,-118,-19,87,-144,-4,171,-75,-152,-55,-164,walking
28,58,55,22,0,-7,85,-111,-492,-516,-615,42,120,-142,-172,-60,-168,walking
31,71,83,28,4,-6,107,-102,-285,-297,-402,-7,117,-73,-146,-95,-114,sittingdown
75,67,67,24,0,-10,93,-152,-7,88,-90,16,122,-107,-203,-75,-163,standing
31,71,83,28,4,-15,90,-123,-429,88,-141,25,119,-83,-174,-77,-155,standing
28,58,55,22,0,-28,29,-30,-277,-356,-353,29,109,-102,-156,-94,-163,sitting
31,71,83,28,4,-7,95,-138,14,90,-125,13,120,-84,-156,-78,-177,standingup
31,71,83,28,4,8,73,-58,-16,10,-22,65,58,-105,-98,-124,-172,sitting
46,62,75,28,6,1,90,-48,-20,23,-15,11,108,-92,-165,-95,-154,sitting
28,58,55,22,0,0,111,-111,-492,-514,-614,23,90,-66,-210,-145,-166,standingup
46,62,75,28,6,-1,107,-88,16,89,-90,13,108,-104,-184,-88,-162,standing
28,58,55,22,0,-17,112,-92,-491,-516,-615,254,165,-167,-171,-59,-170,walking
28,58,55,22,0,0,101,-95,-2,88,-121,2,100,-61,-186,-84,-157,standing
46,62,75,28,6,-8,106,-104,3,87,-121,18,107,-86,-175,-93,-150,walking
28,58,55,22,0,-16,29,-14,-22,-22,-25,-10,75,-96,-143,-93,-169,sitting
46,62,75,28,6,-1,92,-53,-21,21,-19,12,108,-90,-162,-95,-153,sitting
31,71,83,28,4,-23,87,-117,5,92,-122,63,45,-114,-230,-67,-169,walking
46,62,75,28,6,3,90,-47,-20,23,-14,7,107,-92,-164,-95,-156,sitting
28,58,55,22,0,-4,102,-96,4,88,-122,-2,67,-116,-195,-87,-159,standing
46,62,75,28,6,-9,95,-90,-4,73,-120,11,100,-67,-155,-107,-154,standing
31,71,83,28,4,1,66,-64,-20,6,-26,69,63,-100,-91,-118,-166,sitting
28,58,55,22,0,-23,25,-22,-252,-353,-338,38,108,-102,-160,-89,-169,sitting
28,58,55,22,0,-7,93,-550,12,-11,-10,26,117,-127,-200,-81,-134,sittingdown
46,62,75,28,6,-9,102,-96,5,81,-126,25,108,-98,-184,-91,-158,standing
31,71,83,28,4,-13,101,-119,-18,93,-107,40,82,-95,-218,-95,-161,walking
46,62,75,28,6,-3,88,-48,-20,21,-18,10,108,-92,-158,-95,-158,sitting
31,71,83,28,4,13,55,-151,-304,-323,-438,34,122,-81,-209,-66,-169,walking
46,62,75,28,6,-4,103,-94,-4,80,-132,2,104,-72,-173,-91,-161,standing
31,71,83,28,4,-2,98,-124,-9,91,-126,7,117,-82,-169,-77,-161,standing
46,62,75,28,6,-6,67,-43,-6,19,-33,0,93,-75,-161,-110,-170,sitting
46,62,75,28,6,-1,88,-47,-21,22,-20,12,109,-87,-164,-93,-151,sitting
31,71,83,28,4,-16,93,-117,64,42,-125,27,123,-79,-163,-75,-149,standing
28,58,55,22,0,-31,24,-26,-272,-374,-455,27,109,-87,-152,-93,-170,sitting
28,58,55,22,0,-3,100,-103,4,84,-131,17,96,-92,-200,-85,-159,standing
31,71,83,28,4,0,68,-65,-36,-8,-27,68,61,-101,-95,-116,-182,sitting
46,62,75,28,6,-5,77,-33,-2,22,-32,5,96,-68,-149,-108,-162,sitting
28,58,55,22,0,1,102,-91,-1,88,-120,45,101,-60,-187,-81,-148,standing
28,58,55,22,0,-2,99,-93,-8,81,-128,33,96,-45,-188,-79,-153,standing
31,71,83,28,4,-9,62,-162,-489,-512,-611,58,127,-50,-222,-66,-166,walking
46,62,75,28,6,4,101,-83,3,92,-86,6,104,-89,-167,-94,-153,walking
46,62,75,28,6,-10,92,-125,-2,51,-55,20,81,-78,-226,-86,-160,standingup
28,58,55,22,0,2,85,-121,4,81,-93,32,85,-115,-188,-90,-148,walking
31,71,83,28,4,-19,85,-125,-273,-287,-390,20,115,-92,-183,-92,-148,sittingdown
46,62,75,28,6,-20,140,-121,-1,116,-100,-163,151,2,-155,-92,-156,walking
46,62,75,28,6,3,91,-45,-19,24,-13,10,107,-93,-166,-96,-152,sitting
31,71,83,28,4,23,129,-125,-346,-411,-530,6,156,-75,-211,-65,-187,walking
46,62,75,28,6,-3,110,-100,-35,151,11,11,109,-93,-180,-109,-172,walking
28,58,55,22,0,-25,33,-23,-257,-351,-353,29,109,-102,-157,-94,-163,sitting
31,71,83,28,4,0,67,-65,-24,-29,-25,61,54,-103,-95,-127,-167,sitting
46,62,75,28,6,2,92,-48,-19,23,-14,11,108,-93,-164,-96,-154,sitting
46,62,75,28,6,-12,92,-99,-1,73,-123,18,105,-87,-157,-99,-154,standing
28,58,55,22,0,-2,99,-106,-392,-434,-532,23,114,-135,-187,-92,-176,walking
31,71,83,28,4,7,70,-60,-22,-29,-22,67,59,-91,-89,-134,-172,sitting
46,62,75,28,6,-11,94,-98,0,73,-124,15,103,-92,-168,-104,-161,standing
28,58,55,22,0,-10,96,-120,-493,-516,-615,16,129,-132,-166,-84,-175,walking
31,71,83,28,4,5,94,-113,66,45,-101,16,123,-87,-171,-68,-170,standing
31,71,83,28,4,3,70,-62,-23,-27,-24,61,54,-103,-95,-128,-167,sitting
28,58,55,22,0,-2,96,-116,-492,-515,-616,29,125,-124,-178,-76,-181,walking
31,71,83,28,4,-41,115,-115,14,103,-122,-84,322,-57,-200,-79,-160,walking
46,62,75,28,6,-14,94,-117,-33,106,-130,-3,153,-80,-174,-82,-161,walking
46,62,75,28,6,-10,99,-96,1,86,-117,15,137,-83,-151,-100,-163,walking
31,71,83,28,4,-6,96,-129,12,92,-127,20,120,-87,-183,-76,-160,standing
28,58,55,22,0,2,104,-99,5,89,-117,17,92,-97,-200,-86,-161,standing
31,71,83,28,4,2,66,-65,-22,7,-28,66,59,-104,-96,-123,-169,sitting
31,71,83,28,4,1,65,-64,-20,6,-27,66,59,-103,-96,-122,-172,sitting
75,67,67,24,0,-4,125,-123,104,16,-284,0,126,-130,-198,-87,-170,walking
46,62,75,28,6,4,102,-85,3,81,-52,-55,141,-102,-170,-100,-160,walking
31,71,83,28,4,-9,96,-113,14,90,-125,27,123,-85,-164,-73,-161,standing
46,62,75,28,6,-16,103,-104,-51,42,-139,24,103,-100,-208,-101,-138,walking
31,71,83,28,4,9,92,-128,10,83,-65,23,122,-91,-209,-69,-174,standing
28,58,55,22,0,6,94,-117,9,77,-108,-499,-506,-608,-203,-105,-159,standingup
31,71,83,28,4,3,63,-162,-10,97,-73,-24,100,-62,-145,-79,-174,standingup
28,58,55,22,0,-28,18,-29,-261,-267,-338,37,108,-102,-160,-89,-168,sitting
28,58,55,22,0,-2,107,-99,-483,-506,-606,29,130,-128,-170,-80,-180,walking
31,71,83,28,4,21,88,-88,-8,-3,-34,78,71,-64,-100,-100,-161,standingup
75,67,67,24,0,-12,93,-154,-3,91,-90,15,121,-108,-197,-84,-147,standing
31,71,83,28,4,-3,98,-128,10,92,-122,19,120,-86,-180,-74,-161,standing
75,67,67,24,0,-15,120,-135,22,96,-96,-146,182,-101,-194,-108,-153,walking
28,58,55,22,0,-25,36,-25,-254,-254,-332,27,106,-88,-150,-95,-169,sitting
46,62,75,28,6,-11,93,-94,5,86,-109,27,85,-93,-191,-101,-162,standingup
28,58,55,22,0,-28,32,-28,-212,-230,-336,38,107,-102,-156,-93,-164,sitting
28,58,55,22,0,-19,36,-19,-14,-25,-23,26,108,-81,-144,-95,-163,sitting
46,62,75,28,6,-13,161,-137,-28,126,-93,-160,140,32,-160,-89,-160,walking
46,62,75,28,6,-6,70,-40,-5,20,-33,1,93,-75,-160,-110,-169,sitting
31,71,83,28,4,-23,103,-164,-268,-285,-385,-9,110,-82,-215,-75,-148,sittingdown
31,71,83,28,4,2,68,-62,-24,-31,-25,68,61,-98,-88,-129,-148,sitting
31,71,83,28,4,-21,89,-107,-477,-498,-599,45,135,-103,-204,-83,-171,walking
46,62,75,28,6,-25,133,-131,9,146,-50,-181,147,45,-162,-80,-156,walking
31,71,83,28,4,6,90,-113,52,55,-151,26,127,-98,-222,-82,-193,walking
46,62,75,28,6,-8,97,-94,4,88,-107,25,66,-131,-157,-107,-159,walking
31,71,83,28,4,-21,89,-129,-404,-420,-533,-18,103,-108,-154,-128,-128,sittingdown
46,62,75,28,6,-10,95,-89,-8,79,-112,46,59,-67,-184,-97,-150,standingup
31,71,83,28,4,-19,92,-113,3,88,-129,31,121,-79,-164,-104,-109,standing
46,62,75,28,6,-5,97,-93,23,51,-111,17,107,-89,-175,-88,-170,walking
75,67,67,24,0,-15,97,-94,-23,-21,-23,-63,82,-135,-110,-151,-150,sitting
31,71,83,28,4,-24,117,-113,-300,-361,-481,-36,224,34,-219,-81,-165,walking
46,62,75,28,6,0,90,-47,-18,22,-18,14,108,-91,-162,-94,-158,sitting
28,58,55,22,0,-3,102,-101,11,88,-119,30,99,-92,-198,-87,-161,standing
31,71,83,28,4,5,73,-60,-21,-29,-21,61,54,-105,-95,-131,-168,sitting
75,67,67,24,0,-11,96,-100,-22,-15,-22,-69,81,-126,-107,-141,-131,sitting
31,71,83,28,4,27,53,-149,-13,165,-159,-1,144,-67,-207,-56,-161,walking
31,71,83,28,4,-11,91,-95,-289,-299,-404,-9,115,-84,-130,-123,-100,sittingdown
31,71,83,28,4,15,109,-113,16,71,-71,12,134,-92,-206,-71,-169,walking
46,62,75,28,6,4,91,-47,-20,23,-16,7,107,-91,-164,-95,-156,sitting
31,71,83,28,4,-2,91,-129,2,88,-140,36,119,-84,-193,-79,-154,standing
46,62,75,28,6,1,83,-23,3,25,-31,18,99,-64,-146,-105,-153,sitting
46,62,75,28,6,11,87,-14,11,28,-30,23,100,-58,-143,-103,-150,sitting
31,71,83,28,4,1,69,-62,-23,-27,-23,61,54,-104,-96,-128,-167,sitting
75,67,67,24,0,-13,91,-157,-5,91,-95,18,126,-105,-189,-80,-151,standing
75,67,67,24,0,-12,97,-95,-11,-22,-21,-68,84,-102,-103,-131,-151,sitting
31,71,83,28,4,-6,95,-121,7,91,-136,30,118,-84,-172,-75,-166,standing
31,71,83,28,4,-32,83,-130,29,98,-142,59,218,-98,-203,-40,-157,walking
28,58,55,22,0,-3,102,-96,7,88,-122,31,104,-85,-198,-90,-162,standing
75,67,67,24,0,-8,123,-159,-42,114,-106,24,111,-123,-188,-99,-149,walking
75,67,67,24,0,-14,96,-99,-10,-8,-21,-62,88,-130,-96,-143,-146,sitting
31,71,83,28,4,-5,92,-123,4,89,-136,35,126,-78,-180,-72,-145,standing
28,58,55,22,0,-28,33,-32,-270,-337,-369,27,107,-87,-147,-94,-170,sitting
31,71,83,28,4,6,73,-59,-21,-24,-21,61,54,-104,-95,-129,-167,sitting
31,71,83,28,4,-8,94,-120,1,90,-138,35,126,-78,-166,-69,-155,standing
28,58,55,22,0,-18,98,-139,-479,-502,-601,47,125,-137,-176,-70,-168,walking
28,58,55,22,0,-3,99,-89,-6,85,-124,35,94,-45,-191,-84,-155,standing
28,58,55,22,0,-2,77,-121,-491,-514,-614,24,105,-62,-223,-113,-174,standingup
28,58,55,22,0,-34,29,-28,-282,-377,-459,28,109,-86,-150,-93,-170,sitting
46,62,75,28,6,-7,102,-85,2,79,-118,21,105,-86,-156,-99,-154,standing
31,71,83,28,4,-1,93,-157,-346,-319,-478,-7,113,-76,-224,-88,-145,sittingdown
28,58,55,22,0,1,101,-89,-4,86,-123,24,93,-48,-200,-91,-160,standing
31,71,83,28,4,13,106,-152,-14,93,-113,-26,154,-109,-211,-85,-151,walking
