@relation R15

@attribute a1 numeric
@attribute a2 numeric
@attribute class {c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c1c2,c1c3,c1c4,c1c5}

@data
16.67,10.498,c9
16.488,10.542,c9
16.57,10.21,c9
16.456,10.112,c9
16.482,9.986,c9
16.584,9.754,c9
16.1,9.93,c9
16.226,9.67,c9
16.448,9.566,c9
16.572,9.624,c9
16.436,9.41,c9
16.502,9.98,c9
16.418,9.966,c9
14.362,14.644,c10
14.138,14.63,c10
14.064,15.072,c10
13.692,14.958,c10
14.238,15.296,c10
13.73,15.128,c10
13.952,14.868,c10
13.986,14.77,c10
13.916,14.996,c10
13.874,14.954,c10
14.168,15.276,c10
14.278,15.152,c10
14.098,14.9,c10
13.764,15.212,c10
13.948,14.218,c10
14.13,14.838,c10
13.362,14.932,c10
13.546,14.844,c10
14.13,15.11,c10
13.816,14.602,c10
14.386,14.686,c10
13.786,14.726,c10
14.204,14.822,c10
13.856,15.206,c10
14.074,14.384,c10
13.68,14.988,c10
14.204,14.976,c10
13.388,15.39,c10
13.708,15.048,c10
14.114,15.366,c10
14.4,15.04,c10
14.194,15.04,c10
13.888,15.436,c10
13.958,15.322,c10
13.922,14.802,c10
13.652,14.602,c10
14.294,14.996,c10
13.81,14.526,c10
13.408,15.34,c10
13.834,14.778,c10
8.826,16.474,c11
8.33,16.488,c11
8.468,16.378,c11
8.904,15.846,c11
8.662,16.354,c11
8.684,16.776,c11
8.33,16.066,c11
8.904,16.402,c11
8.778,16.486,c11
8.81,16.458,c11
8.398,16.576,c11
8.542,15.918,c11
9.064,16.456,c11
9.152,16.094,c11
8.614,15.908,c11
8.566,17.012,c11
8.12,16.11,c11
8.844,16.026,c11
8.398,16.282,c11
8.808,15.59,c11
8.502,16.166,c11
8.942,16.19,c11
8.376,16.112,c11
8.518,15.84,c11
8.878,16.004,c11
8.582,16.774,c11
8.248,16.154,c11
8.588,16.24,c11
8.706,16.374,c11
8.524,16.392,c11
8.458,16.452,c11
8.83,16.36,c11
8.616,16.112,c11
8.844,16.362,c11
8.468,15.928,c11
8.62,16.674,c11
8.974,16.53,c11
8.826,16.084,c11
8.104,15.962,c11
8.386,16.24,c11
4.576,12.878,c1c2
4.46,13.16,c1c2
3.632,12.862,c1c2
4.238,12.506,c1c2
4.348,13.268,c1c2
3.788,12.372,c1c2
4.19,12.772,c1c2
3.86,12.706,c1c2
3.978,13.308,c1c2
4.336,12.854,c1c2
4.218,13.03,c1c2
4.25,13.002,c1c2
4.334,13.06,c1c2
4.654,12.566,c1c2
4.38,12.792,c1c2
3.968,13.016,c1c2
4.614,12.526,c1c2
3.95,12.67,c1c2
4.038,12.67,c1c2
4.426,12.238,c1c2
4.066,12.514,c1c2
4.248,12.392,c1c2
4.61,12.95,c1c2
4.328,12.99,c1c2
4.5,12.522,c1c2
4.176,12.71,c1c2
4.492,12.464,c1c2
4.134,12.834,c1c2
4.316,12.764,c1c2
4.454,12.084,c1c2
4.052,12.934,c1c2
4.26,13.118,c1c2
4.058,13.718,c1c2
4.24,12.626,c1c2
3.838,12.232,c1c2
4.128,13.4,c1c2
3.764,12.38,c1c2
4.424,13.186,c1c2
4.234,12.994,c1c2
5.13,13.296,c1c2
3.9,6.742,c1c3
3.994,7.206,c1c3
4.278,7.222,c1c3
4.172,6.848,c1c3
3.882,6.894,c1c3
3.936,6.994,c1c3
4.162,6.87,c1c3
3.762,7.1,c1c3
4.256,7.612,c1c3
4.55,6.822,c1c3
4.062,6.984,c1c3
4.026,7.23,c1c3
4.364,7.184,c1c3
4.292,7.208,c1c3
4.288,6.91,c1c3
4.018,7.062,c1c3
4.07,7.104,c1c3
4.548,7.654,c1c3
4.402,7.082,c1c3
3.692,7.49,c1c3
4.888,7.194,c1c3
4.456,7.146,c1c3
4.732,7.154,c1c3
4.088,7.212,c1c3
4.502,6.928,c1c3
3.402,7.434,c1c3
4.246,6.692,c1c3
4.166,7.256,c1c3
4.852,6.83,c1c3
4.398,7.428,c1c3
5.016,7.054,c1c3
4.25,6.76,c1c3
3.738,7.082,c1c3
4.254,7.264,c1c3
4.122,7.238,c1c3
3.878,7.232,c1c3
4.55,7.29,c1c3
4.03,7.126,c1c3
4.412,7.022,c1c3
4.276,7.244,c1c3
8.376,3.788,c1c4
8.81,3.864,c1c4
8.218,3.548,c1c4
8.374,3.748,c1c4
8.102,4.3,c1c4
8.386,3.952,c1c4
8.858,3.274,c1c4
8.884,3.504,c1c4
8.294,3.38,c1c4
8.38,3.178,c1c4
8.738,4.294,c1c4
9.1,3.84,c1c4
9.086,3.6,c1c4
8.616,3.45,c1c4
8.624,3.698,c1c4
8.632,3.82,c1c4
8.286,3.704,c1c4
8.816,3.58,c1c4
8.722,3.854,c1c4
8.298,3.378,c1c4
9.014,4.034,c1c4
8.87,3.554,c1c4
8.562,3.662,c1c4
8.6,3.828,c1c4
8.94,3.836,c1c4
8.768,4.32,c1c4
8.838,3.926,c1c4
8.288,3.466,c1c4
8.652,3.782,c1c4
8.376,3.956,c1c4
7.724,3.414,c1c4
8.374,4.136,c1c4
8.6,3.712,c1c4
9.026,3.788,c1c4
8.534,3.252,c1c4
8.874,3.602,c1c4
8.796,3.888,c1c4
8.592,3.988,c1c4
8.98,4.014,c1c4
8.562,3.856,c1c4
13.894,4.16,c1c5
14.278,5.26,c1c5
14.364,4.748,c1c5
14.108,4.918,c1c5
13.998,5.498,c1c5
14.4,5.296,c1c5
14.3,5.368,c1c5
13.958,5.35,c1c5
13.842,4.984,c1c5
13.85,4.246,c1c5
13.978,5.356,c1c5
14.366,5.104,c1c5
14.272,4.94,c1c5
14.336,5.176,c1c5
14.744,5.248,c1c5
14.306,5.06,c1c5
13.986,5.05,c1c5
14.44,5.33,c1c5
14.004,4.92,c1c5
13.332,4.592,c1c5
14.218,5.544,c1c5
14.154,4.768,c1c5
13.468,4.92,c1c5
13.67,5.406,c1c5
13.664,5.016,c1c5
14.12,4.87,c1c5
13.836,4.51,c1c5
14.204,5.064,c1c5
14.004,5.228,c1c5
13.266,4.858,c1c5
13.668,5.34,c1c5
14.528,4.812,c1c5
14.318,4.592,c1c5
14.018,5.182,c1c5
14.37,4.884,c1c5
14.198,4.804,c1c5
14.32,4.59,c1c5
13.636,5.218,c1c5
14.41,4.656,c1c5
14.02,5.614,c1c5
