@relation spiral

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute decision {label3,label1,label2}

@data
23.2,11.65,label2
22.75,11.4,label2
22.3,11.3,label2
21.9,11.1,label2
21.45,11.05,label2
21.1,11,label2
20.7,10.95,label2
20.35,10.95,label2
19.95,11,label2
19.55,11,label2
19.15,11.05,label2
18.85,11.1,label2
18.45,11.25,label2
18.15,11.35,label2
17.85,11.5,label2
17.5,11.7,label2
17.2,11.95,label2
17,12.05,label2
16.75,12.2,label2
16.65,12.35,label2
16.5,12.5,label2
16.35,12.7,label2
16.2,12.8,label2
16.15,12.95,label2
16,13.1,label2
15.95,13.25,label2
15.9,13.4,label2
15.8,13.5,label2
15.8,13.65,label2
15.75,13.85,label2
15.65,14.05,label2
15.65,14.25,label2
15.65,14.5,label2
15.65,14.6,label2
